ID,glc_pc_s01,glc_pc_s02,glc_pc_s03,glc_pc_s04,glc_pc_s05,glc_pc_s06,glc_pc_s07,glc_pc_s08,glc_pc_s09,glc_pc_s10,glc_pc_s11,glc_pc_s12,glc_pc_s13,glc_pc_s14,glc_pc_s15,glc_pc_s16,glc_pc_s17,glc_pc_s18,glc_pc_s19,glc_pc_s20,glc_pc_s21,glc_pc_s22,wet_pc_s01,wet_pc_s02,wet_pc_s03,wet_pc_s04,wet_pc_s05,wet_pc_s06,wet_pc_s07,wet_pc_s08,wet_pc_s09,for_pc_sse,crp_pc_sse,pst_pc_sse,ire_pc_sse,gla_pc_sse,prm_pc_sse,glc_cl_smj,pnv_cl_smj,wet_cl_smj,tbi_cl_smj,tec_cl_smj
72617.0,0.0,41.666666666666664,0.0,2.0,0.0,16.333333333333332,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,14.666666666666666,0.0,0.3333333333333333,4.333333333333333,9.666666666666666,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.333333333333336,23.666666666666668,24.0,0.0,0.0,0.0,2.0,4.0,,4.0,679.0
72729.0,0.0,13.5,0.0,5.75,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,11.75,0.0,0.125,9.625,19.75,17.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.25,46.25,25.375,0.75,0.0,0.0,6.0,4.0,,4.0,679.0
72552.0,0.0,13.285714285714286,0.0,35.42857142857143,0.0,27.714285714285715,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,3.7142857142857144,0.0,0.2857142857142857,3.2857142857142856,7.714285714285714,6.857142857142857,0.0,0.2857142857142857,0.0,0.8571428571428571,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.42857142857143,15.857142857142858,10.0,0.2857142857142857,0.0,0.0,4.0,4.0,1.0,4.0,679.0
72605.0,0.0,23.428571428571427,0.0,8.571428571428571,0.0,51.57142857142857,0.0,0.0,1.2857142857142858,0.0,0.0,0.0,2.857142857142857,0.0,1.1428571428571428,1.8571428571428572,5.714285714285714,3.7142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.57142857142857,10.428571428571429,9.571428571428571,0.14285714285714285,0.0,0.0,6.0,4.0,,6.0,717.0
72584.0,0.0,21.0,0.0,6.5,0.0,29.5,0.0,0.0,1.0,0.0,0.0,0.0,5.5,0.0,1.0,5.5,18.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,28.5,17.0,0.5,0.0,0.0,6.0,4.0,,4.0,679.0
72585.0,0.0,19.666666666666668,0.0,11.666666666666666,0.0,34.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,4.0,0.0,0.6666666666666666,4.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,22.666666666666668,14.666666666666666,0.3333333333333333,0.0,0.0,6.0,4.0,,6.0,717.0
72588.0,0.0,17.142857142857142,0.0,21.142857142857142,0.0,32.714285714285715,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,6.428571428571429,0.0,0.5714285714285714,3.0,10.571428571428571,7.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.71428571428571,15.285714285714286,12.857142857142858,0.42857142857142855,0.0,0.0,6.0,4.0,,6.0,717.0
72592.0,0.0,22.0,0.0,15.5,0.0,45.5,0.0,0.0,1.5,0.0,0.0,0.0,4.5,0.0,0.5,1.5,3.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,9.5,9.5,0.5,0.0,0.0,6.0,4.0,,6.0,717.0
72559.0,0.0,20.0,0.0,21.333333333333332,0.0,34.166666666666664,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,15.0,0.0,0.0,1.0,5.5,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.66666666666667,8.333333333333334,9.333333333333334,0.16666666666666666,0.0,0.0,6.0,4.0,,4.0,679.0
,0.0,18.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,54.0,37.0,1.0,0.0,0.0,18.0,4.0,,4.0,679.0
72610.0,0.0,32.0,0.0,4.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,7.5,0.0,0.5,2.0,12.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,22.0,21.0,0.0,0.0,0.0,2.0,4.0,,4.0,679.0
72603.0,0.0,13.875,0.0,23.0,0.0,41.75,0.0,0.0,2.875,0.0,0.0,0.0,0.375,0.0,8.125,0.375,3.125,3.25,0.0,3.125,0.0,0.0,2.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,2.125,2.875,0.0,0.0,0.0,6.0,4.0,1.0,6.0,717.0
