ID,ele_mt_sav,slp_dg_sav,sgr_dk_sav
72617.0,111.66666666666667,10.333333333333334,27.666666666666668
72729.0,114.125,9.125,14.75
72552.0,75.42857142857143,11.714285714285714,30.857142857142858
72605.0,112.28571428571429,9.571428571428571,17.0
72584.0,132.0,9.5,13.0
72585.0,126.66666666666667,10.0,16.0
72588.0,109.14285714285714,10.285714285714286,18.428571428571427
72592.0,104.0,11.0,24.5
72559.0,90.16666666666667,12.666666666666666,34.666666666666664
,76.0,11.0,41.0
72610.0,131.5,8.5,16.5
72603.0,86.875,9.875,15.625
